Kind,Name,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.AreaCapacitacao",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.AreaPerfil",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Avaliacao",1,0,1,7
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.Avaliacao.Perspectiva",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.Avaliacao.TipoAvaliacao",1,0,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Comissao",1,0,2,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Competencia",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Comportamento",1,0,1,8
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ComportamentoSearch",1,0,1,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ComportamentoSpecification",1,0,2,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.CursoCapacitacao",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.DadosPessoais",1,0,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.DadosProfissionais",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Diagnostico",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ExperienciaProfissional",1,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.model.IPermissaoNormalizacao",0,0,0,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Idioma",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacao",1,0,1,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacaoSearch",1,0,1,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacaoSpecification",1,0,2,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemPreferencia",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Mapeamento",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Monitoramento",1,0,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.NivelEscolaridade",1,0,1,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Perfil",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilIdioma",1,0,1,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilIdiomaKey",1,0,2,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilPreferencia",1,0,1,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilPreferenciaKey",1,0,2,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Preferencia",1,0,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Responsabilidade",1,0,1,6
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeFilter",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeSearch",1,0,1,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeSpecification",1,0,2,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Unidade",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.UnidadeMapeada",1,0,1,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Usuario",1,0,3,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.CompetenciaAutoAvaliacaoDTO",1,0,1,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.CompetenciaDTO",1,0,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.NotaDTO",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.CategoriaComportamento",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Dificuldade",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.EscalaAvaliacao",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Escolaridade",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Etapa",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.EtapaResponsabilidade",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Impacto",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Lotacao",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.NivelIdioma",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.SituacaoComportamento",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.SituacaoResponsabilidade",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.StatusExperienciaProfissional",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.StatusNivelEscolaridade",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoAreaPerfil",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoCompetencia",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoExperienciaProfissional",1,0,1,0
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.VinculoProfissional",1,0,1,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AreaCapacitacaoRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AreaPerfilRepository",2,0,1,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AvaliacaoRepository",2,0,1,6
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AvalicaoComportamentalRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ComissaoRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.CompetenciaRepository",2,0,1,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ComportamentoRepository",2,0,2,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.CursoCapacitacaoRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.DiagnosticoRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ExperienciaProfissionalRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.IdiomaRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ItemAvaliacaoRepository",2,0,2,4
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ItemPreferenciaRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.MapeamentoRepository",2,0,2,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.NivelEscolaridadeRepository",2,0,1,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilIdiomaRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilPreferenciaRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilRepository",2,0,1,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PreferenciaRepository",2,0,1,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ResponsabilidadeRepository",2,0,2,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UnidadeMapeadaRepository",2,0,1,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UnidadeRepository",2,0,1,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UsuarioRepository",2,0,1,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.AreaCapacitacaoService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.AreaPerfilService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ArquivoService",0,1,0,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ComissaoService",0,1,0,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.CompetenciaService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ComportamentoService",0,1,0,4
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.CursoCapacitacaoService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.DiagnosticoService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ExperienciaProfissionalService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.IdiomaService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ItemAvaliacaoService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ItemPreferenciaService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.MapeamentoService",0,1,0,4
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.NivelEscolaridadeService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilIdiomaService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilPreferenciaService",0,1,0,3
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PreferenciaService",0,1,0,1
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ResponsabilidadeService",0,1,0,4
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.UnidadeService",0,1,0,2
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.UsuarioService",0,1,0,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AreaCapacitacaoServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AreaPerfilServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ArquivoServiceImpl",1,0,2,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AvaliacaoComportamentalService",1,0,1,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AvaliacaoService",1,0,1,14
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ComissaoServiceImpl",1,0,2,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.CompetenciaServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ComportamentoServiceImpl",1,0,2,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.CursoCapacitacaoServiceImpl",1,0,2,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.DiagnosticoServiceImpl",1,0,2,7
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ExperienciaProfissionalServiceImpl",1,0,2,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.IdiomaServiceImpl",1,0,2,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ItemAvaliacaoServiceImpl",1,0,2,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ItemPreferenciaServiceImpl",1,0,2,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.MapeamentoServiceImpl",1,0,2,9
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.NivelEscolaridadeServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilIdiomaServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilPreferenciaServiceImpl",1,0,2,4
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilServiceImpl",1,0,2,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PreferenciaServiceImpl",1,0,2,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ResponsabilidadeServiceImpl",1,0,2,6
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UnidadeMapeadaService",1,0,1,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UnidadeServiceImpl",1,0,2,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UsuarioServiceImpl",1,0,2,3
