Kind,Name,PercentLackOfCohesion
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ComportamentoSpecification",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.CursoCapacitacao",85
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Diagnostico",92
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ExperienciaProfissional",88
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.model.IPermissaoNormalizacao",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Idioma",66
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacao",83
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacaoSearch",78
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemAvaliacaoSpecification",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ItemPreferencia",59
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Mapeamento",95
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Monitoramento",70
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.NivelEscolaridade",88
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Perfil",92
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilIdioma",85
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilIdiomaKey",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilPreferencia",66
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.PerfilPreferenciaKey",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Preferencia",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Responsabilidade",95
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeFilter",66
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeSearch",62
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.ResponsabilidadeSpecification",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Unidade",87
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.UnidadeMapeada",75
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.Usuario",94
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.CompetenciaAutoAvaliacaoDTO",57
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.CompetenciaDTO",40
Public Class,"br.ufc.quixada.npi.gestaocompetencia.model.dto.NotaDTO",41
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.CategoriaComportamento",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Dificuldade",85
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.EscalaAvaliacao",91
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Escolaridade",93
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Etapa",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.EtapaResponsabilidade",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Impacto",83
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.Lotacao",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.NivelIdioma",83
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.SituacaoComportamento",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.SituacaoResponsabilidade",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.StatusExperienciaProfissional",80
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.StatusNivelEscolaridade",84
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoAreaPerfil",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoCompetencia",100
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.TipoExperienciaProfissional",89
Public Enum Type,"br.ufc.quixada.npi.gestaocompetencia.model.enums.VinculoProfissional",100
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AreaCapacitacaoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AreaPerfilRepository",0
